chromosome	start	end	strand	C%+G%	Obs/Exp	len	gene_id
chr2	transcript	189000592	189002298	-	63.19	0.77	130.0	LINC01090
chr2	gene	189050086	189050751	-	57.44	0.76	41.0	LINC01090
chr2	transcript	189050086	189050751	-	57.44	0.76	41.0	LINC01090
chr2	gene	189112084	189112789	-	73.33	0.74	70.0	LINC01090
chr2	transcript	189112084	189112789	-	73.33	0.74	70.0	LINC01090
chr2	gene	189484743	189485373	-	50.0	0.62	24.0	AC079613.1
chr2	transcript	189484743	189485373	-	50.0	0.62	24.0	AC079613.1
chr2	gene	191150140	191150662	-	50.77	0.67	22.0	HIBCH
chr2	transcript	191150140	191150662	-	50.77	0.67	22.0	HIBCH
chr2	gene	191943746	191944852	-	66.37	0.87	106.0	STAT4
chr2	transcript	191943746	191944852	-	66.37	0.87	106.0	STAT4
chr2	gene	192952293	192952907	-	55.37	0.69	32.0	TMEFF2
chr2	transcript	192952293	192952907	-	55.37	0.69	32.0	TMEFF2
chr2	gene	195871039	195871766	-	52.41	0.6	29.0	AC010983.1
chr2	transcript	195871039	195871766	-	52.41	0.6	29.0	AC010983.1
chr2	gene	196354775	196355724	-	63.54	0.79	75.0	RP11-762E8.1
chr2	transcript	196354775	196355724	-	63.54	0.79	75.0	RP11-762E8.1
chr2	gene	196672190	196675585	-	65.21	0.84	303.0	DNAH7
chr2	transcript	196672190	196675585	-	65.21	0.84	303.0	DNAH7
chr2	gene	197319689	197322725	-	63.77	0.87	266.0	HECW2
chr2	transcript	197319689	197322725	-	63.77	0.87	266.0	HECW2
chr2	gene	197360763	197361686	-	55.25	0.88	62.0	HECW2
chr2	transcript	197360763	197361686	-	55.25	0.88	62.0	HECW2
chr2	gene	197660760	197661792	-	58.72	0.71	45.0	GTF3C3
chr2	transcript	197660760	197661792	-	58.72	0.71	45.0	GTF3C3
chr2	gene	197957564	197959118	-	67.89	0.8	144.0	ANKRD44
chr2	transcript	197957564	197959118	-	67.89	0.8	144.0	ANKRD44
chr2	gene	197961412	197962263	-	64.75	0.67	60.0	ANKRD44
chr2	transcript	197961412	197962263	-	64.75	0.67	60.0	ANKRD44
chr2	gene	197962364	197963967	-	68.5	0.89	168.0	ANKRD44
chr2	transcript	197962364	197963967	-	68.5	0.89	168.0	ANKRD44
chr2	gene	197966644	197967678	-	58.9	0.78	70.0	ANKRD44
chr2	transcript	197966644	197967678	-	58.9	0.78	70.0	ANKRD44
chr2	gene	197970374	197972043	-	62.13	0.65	105.0	ANKRD44
chr2	transcript	197970374	197972043	-	62.13	0.65	105.0	ANKRD44
chr2	gene	198016233	198017759	-	61.86	0.7	102.0	ANKRD44
chr2	transcript	198016233	198017759	-	61.86	0.7	102.0	ANKRD44
chr2	gene	198018813	198020162	-	63.45	0.74	101.0	ANKRD44
chr2	transcript	198018813	198020162	-	63.45	0.74	101.0	ANKRD44
chr2	gene	198027418	198028396	-	65.64	0.67	70.0	ANKRD44
chr2	transcript	198027418	198028396	-	65.64	0.67	70.0	ANKRD44
chr2	gene	198028648	198030075	-	66.29	0.85	133.0	ANKRD44
chr2	transcript	198028648	198030075	-	66.29	0.85	133.0	ANKRD44
chr2	gene	198032600	198034813	-	64.44	0.64	147.0	ANKRD44
chr2	transcript	198032600	198034813	-	64.44	0.64	147.0	ANKRD44
chr2	gene	198036143	198038138	-	64.86	0.65	135.0	ANKRD44
chr2	transcript	198036143	198038138	-	64.86	0.65	135.0	ANKRD44
chr2	gene	198039120	198039749	-	59.14	0.64	35.0	ANKRD44
chr2	transcript	198039120	198039749	-	59.14	0.64	35.0	ANKRD44
chr2	gene	198041522	198044234	-	62.83	0.81	217.0	ANKRD44
chr2	transcript	198041522	198044234	-	62.83	0.81	217.0	ANKRD44
chr2	gene	198169823	198170419	-	61.74	0.76	43.0	ANKRD44
chr2	transcript	198169823	198170419	-	61.74	0.76	43.0	ANKRD44
chr2	gene	198608237	198608789	-	52.9	0.62	23.0	BOLL
chr2	transcript	198608237	198608789	-	52.9	0.62	23.0	BOLL
chr2	gene	198609349	198611045	-	57.31	0.69	96.0	BOLL
chr2	transcript	198609349	198611045	-	57.31	0.69	96.0	BOLL
chr2	gene	199539938	199540748	-	54.32	0.88	52.0	AC019330.1
chr2	transcript	199539938	199540748	-	54.32	0.88	52.0	AC019330.1
chr2	gene	199870416	199871712	-	64.74	0.6	81.0	AC018717.1
chr2	transcript	199870416	199871712	-	64.74	0.6	81.0	AC018717.1
chr2	gene	199903468	199904433	-	63.63	0.7	66.0	AC018717.1
chr2	transcript	199903468	199904433	-	63.63	0.7	66.0	AC018717.1
chr2	gene	200143753	200144720	-	58.84	0.65	54.0	SATB2
chr2	transcript	200143753	200144720	-	58.84	0.65	54.0	SATB2
chr2	gene	200159754	200160337	-	54.2	0.73	31.0	SATB2
chr2	transcript	200159754	200160337	-	54.2	0.73	31.0	SATB2
chr2	gene	200160461	200162427	-	66.73	0.78	170.0	SATB2
chr2	transcript	200160461	200162427	-	66.73	0.78	170.0	SATB2
chr2	gene	200178388	200179951	-	64.56	0.69	112.0	SATB2
chr2	transcript	200178388	200179951	-	64.56	0.69	112.0	SATB2
chr2	gene	200802059	200803101	-	68.04	0.81	97.0	TYW5
chr2	transcript	200802059	200803101	-	68.04	0.81	97.0	TYW5
chr2	gene	202519676	202520299	-	71.75	1.03	82.0	MPP4
chr2	transcript	202519676	202520299	-	71.75	1.03	82.0	MPP4
chr2	gene	203726515	203727302	-	50.83	0.7	35.0	ICA1L
chr2	transcript	203726515	203727302	-	50.83	0.7	35.0	ICA1L
chr2	gene	203727432	203728783	-	65.43	0.73	105.0	ICA1L
chr2	transcript	203727432	203728783	-	65.43	0.73	105.0	ICA1L
chr2	gene	203765585	203766751	-	54.97	0.68	60.0	WDR12
chr2	transcript	203765585	203766751	-	54.97	0.68	60.0	WDR12
chr2	gene	203847484	203848247	-	61.6	0.83	60.0	WDR12
chr2	transcript	203847484	203848247	-	61.6	0.83	60.0	WDR12
chr2	gene	203850705	203852630	-	64.42	0.82	163.0	WDR12
chr2	transcript	203850705	203852630	-	64.42	0.82	163.0	WDR12
chr2	gene	204368570	204370299	-	67.03	0.96	187.0	RAPH1
chr2	transcript	204368570	204370299	-	67.03	0.96	187.0	RAPH1
chr2	gene	209046595	209047167	-	58.57	0.71	35.0	C2orf80
chr2	transcript	209046595	209047167	-	58.57	0.71	35.0	C2orf80
chr2	gene	209050596	209051171	-	53.04	0.6	24.0	C2orf80
chr2	transcript	209050596	209051171	-	53.04	0.6	24.0	C2orf80
chr2	gene	210909908	210911257	-	66.57	0.9	134.0	KANSL1L
chr2	transcript	210909908	210911257	-	66.57	0.9	134.0	KANSL1L
chr2	gene	210923644	210924257	-	57.42	0.65	33.0	KANSL1L
chr2	transcript	210923644	210924257	-	57.42	0.65	33.0	KANSL1L
chr2	gene	210934216	210935035	-	59.95	0.71	51.0	KANSL1L
chr2	transcript	210934216	210935035	-	59.95	0.71	51.0	KANSL1L
chr2	gene	210963028	210964830	-	73.36	0.8	195.0	KANSL1L
chr2	transcript	210963028	210964830	-	73.36	0.8	195.0	KANSL1L
chr2	gene	212528510	212529618	-	62.82	0.87	94.0	ERBB4
chr2	transcript	212528510	212529618	-	62.82	0.87	94.0	ERBB4
chr2	gene	212743464	212746263	-	64.67	0.78	228.0	ERBB4
chr2	transcript	212743464	212746263	-	64.67	0.78	228.0	ERBB4
chr2	gene	212785842	212786446	-	52.15	0.73	30.0	ERBB4
chr2	transcript	212785842	212786446	-	52.15	0.73	30.0	ERBB4
chr2	gene	212828385	212830221	-	70.15	0.83	187.0	ERBB4
chr2	transcript	212828385	212830221	-	70.15	0.83	187.0	ERBB4
chr2	gene	213054694	213056849	-	65.43	0.73	169.0	ERBB4
chr2	transcript	213054694	213056849	-	65.43	0.73	169.0	ERBB4
chr2	gene	213745177	213745692	-	53.98	0.67	25.0	AC079610.1
chr2	transcript	213745177	213745692	-	53.98	0.67	25.0	AC079610.1
chr2	gene	213860282	213861626	-	70.98	0.86	143.0	AC079610.1
chr2	transcript	213860282	213861626	-	70.98	0.86	143.0	AC079610.1
chr2	gene	215204286	215205216	-	57.96	0.8	61.0	AC107218.3
chr2	transcript	215204286	215205216	-	57.96	0.8	61.0	AC107218.3
chr2	gene	215240620	215241233	-	70.47	0.67	51.0	AC107218.3
chr2	transcript	215240620	215241233	-	70.47	0.67	51.0	AC107218.3
chr2	gene	215307743	215308337	-	54.55	0.75	33.0	AC107218.3
chr2	transcript	215307743	215308337	-	54.55	0.75	33.0	AC107218.3
chr2	gene	215311659	215313309	-	55.52	0.77	98.0	AC107218.3
chr2	transcript	215311659	215313309	-	55.52	0.77	98.0	AC107218.3
chr2	gene	215346850	215348082	-	55.6	0.66	63.0	AC107218.3
chr2	transcript	215346850	215348082	-	55.6	0.66	63.0	AC107218.3
chr2	gene	215393164	215393986	-	58.15	0.66	46.0	AC107218.3
chr2	transcript	215393164	215393986	-	58.15	0.66	46.0	AC107218.3
chr2	gene	215480871	215482552	-	66.21	0.66	121.0	AC107218.3
chr2	transcript	215480871	215482552	-	66.21	0.66	121.0	AC107218.3
chr2	gene	215533576	215534482	-	69.21	0.75	81.0	AC107218.3
chr2	transcript	215533576	215534482	-	69.21	0.75	81.0	AC107218.3
chr2	gene	215546889	215548351	-	66.69	0.82	131.0	AC107218.3
chr2	transcript	215546889	215548351	-	66.69	0.82	131.0	AC107218.3
chr2	gene	215595038	215596451	-	64.26	0.7	101.0	BARD1
chr2	transcript	215595038	215596451	-	64.26	0.7	101.0	BARD1
chr2	gene	215604976	215606722	-	65.46	0.79	148.0	BARD1
chr2	transcript	215604976	215606722	-	65.46	0.79	148.0	BARD1
chr2	gene	215616666	215617731	-	67.23	0.61	73.0	BARD1
chr2	transcript	215616666	215617731	-	67.23	0.61	73.0	BARD1
chr2	gene	215619199	215620388	-	61.73	0.78	88.0	BARD1
chr2	transcript	215619199	215620388	-	61.73	0.78	88.0	BARD1
chr2	gene	215652917	215653563	-	56.5	0.7	35.0	BARD1
chr2	transcript	215652917	215653563	-	56.5	0.7	35.0	BARD1
chr2	gene	215667838	215670310	-	67.6	0.68	191.0	BARD1
chr2	transcript	215667838	215670310	-	67.6	0.68	191.0	BARD1
chr2	gene	215841121	215842534	-	63.41	0.84	119.0	ABCA12
chr2	transcript	215841121	215842534	-	63.41	0.84	119.0	ABCA12
chr2	gene	215857215	215858096	-	72.3	0.81	93.0	ABCA12
chr2	transcript	215857215	215858096	-	72.3	0.81	93.0	ABCA12
chr2	gene	215864512	215865039	-	73.43	0.69	49.0	ABCA12
chr2	transcript	215864512	215865039	-	73.43	0.69	49.0	ABCA12
chr2	gene	215865249	215865816	-	50.79	0.66	24.0	ABCA12
chr2	transcript	215865249	215865816	-	50.79	0.66	24.0	ABCA12
chr2	gene	215889018	215890878	-	69.19	0.78	174.0	ABCA12
chr2	transcript	215889018	215890878	-	69.19	0.78	174.0	ABCA12
chr2	gene	215903782	215905354	-	67.11	0.71	126.0	ABCA12
chr2	transcript	215903782	215905354	-	67.11	0.71	126.0	ABCA12
chr2	gene	215924289	215925294	-	64.88	0.79	83.0	ABCA12
chr2	transcript	215924289	215925294	-	64.88	0.79	83.0	ABCA12
chr2	gene	215925439	215927018	-	59.72	0.75	105.0	ABCA12
chr2	transcript	215925439	215927018	-	59.72	0.75	105.0	ABCA12
chr2	gene	215927120	215927866	-	55.23	0.71	40.0	ABCA12
chr2	transcript	215927120	215927866	-	55.23	0.71	40.0	ABCA12
chr2	gene	215943174	215944152	-	64.83	0.89	90.0	ABCA12
chr2	transcript	215943174	215944152	-	64.83	0.89	90.0	ABCA12
chr2	gene	216247717	216248983	-	67.06	0.82	116.0	FN1
chr2	transcript	216247717	216248983	-	67.06	0.82	116.0	FN1
chr2	gene	216282751	216284067	-	72.04	0.87	146.0	FN1
chr2	transcript	216282751	216284067	-	72.04	0.87	146.0	FN1
chr2	gene	216493289	216493839	-	55.82	1.1	27.0	LINC00607
chr2	transcript	216493289	216493839	-	55.82	1.1	27.0	LINC00607
chr2	gene	216574047	216574771	-	64.92	0.84	64.0	LINC00607
chr2	transcript	216574047	216574771	-	64.92	0.84	64.0	LINC00607
chr2	gene	216629388	216631154	-	57.36	0.82	119.0	LINC00607
chr2	transcript	216629388	216631154	-	57.36	0.82	119.0	LINC00607
chr2	gene	216804150	216804957	-	60.47	0.68	48.0	AC093382.1
chr2	transcript	216804150	216804957	-	60.47	0.68	48.0	AC093382.1
chr2	gene	216825991	216826821	-	51.08	0.61	33.0	MREG
chr2	transcript	216825991	216826821	-	51.08	0.61	33.0	MREG
chr2	gene	216835424	216836016	-	55.07	0.67	30.0	MREG
chr2	transcript	216835424	216836016	-	55.07	0.67	30.0	MREG
chr2	gene	216838113	216838656	-	55.43	0.66	27.0	MREG
chr2	transcript	216838113	216838656	-	55.43	0.66	27.0	MREG
chr2	gene	216941463	216943426	-	61.08	0.89	163.0	PECR
chr2	transcript	216941463	216943426	-	61.08	0.89	163.0	PECR
chr2	gene	217270503	217271408	-	66.52	0.62	62.0	AC098820.2
chr2	transcript	217270503	217271408	-	66.52	0.62	62.0	AC098820.2
chr2	gene	218182710	218183778	-	62.64	0.76	80.0	DIRC3
chr2	transcript	218182710	218183778	-	62.64	0.76	80.0	DIRC3
chr2	gene	218452617	218453178	-	54.72	0.63	26.0	DIRC3
chr2	transcript	218452617	218453178	-	54.72	0.63	26.0	DIRC3
chr2	gene	218484125	218485913	-	71.76	0.96	217.0	DIRC3
chr2	transcript	218484125	218485913	-	71.76	0.96	217.0	DIRC3
chr2	gene	218573054	218573787	-	74.49	0.62	60.0	DIRC3
chr2	transcript	218573054	218573787	-	74.49	0.62	60.0	DIRC3
chr2	gene	218615540	218616986	-	66.11	0.87	135.0	DIRC3
chr2	transcript	218615540	218616986	-	66.11	0.87	135.0	DIRC3
chr2	gene	218800678	218801945	-	61.33	0.8	95.0	TNS1
chr2	transcript	218800678	218801945	-	61.33	0.8	95.0	TNS1
chr2	gene	218852331	218853561	-	67.64	0.87	122.0	TNS1
chr2	transcript	218852331	218853561	-	67.64	0.87	122.0	TNS1
chr2	gene	218925875	218926997	-	69.96	0.73	100.0	CXCR2P1
chr2	transcript	218925875	218926997	-	69.96	0.73	100.0	CXCR2P1
chr2	gene	218928612	218929509	-	55.07	0.69	44.0	CXCR2P1
chr2	transcript	218928612	218929509	-	55.07	0.69	44.0	CXCR2P1
chr2	gene	222327653	222330450	-	62.85	0.77	212.0	EPHA4
chr2	transcript	222327653	222330450	-	62.85	0.77	212.0	EPHA4
chr2	gene	222331589	222334581	-	67.48	0.81	275.0	EPHA4
chr2	transcript	222331589	222334581	-	67.48	0.81	275.0	EPHA4
chr2	gene	222347728	222349308	-	64.43	0.61	99.0	EPHA4
chr2	transcript	222347728	222349308	-	64.43	0.61	99.0	EPHA4
chr2	gene	223096960	223098437	-	54.64	0.99	109.0	PAX3
chr2	transcript	223096960	223098437	-	54.64	0.99	109.0	PAX3
chr2	gene	223130421	223131014	-	66.61	0.69	45.0	PAX3
chr2	transcript	223130421	223131014	-	66.61	0.69	45.0	PAX3
chr2	gene	225263200	225263804	-	56.13	0.89	42.0	FAM124B
chr2	transcript	225263200	225263804	-	56.13	0.89	42.0	FAM124B
chr2	gene	225263920	225265079	-	64.97	0.9	110.0	FAM124B
chr2	transcript	225263920	225265079	-	64.97	0.9	110.0	FAM124B
chr2	gene	229750427	229750995	-	74.3	0.7	55.0	PID1
chr2	transcript	229750427	229750995	-	74.3	0.7	55.0	PID1
chr2	gene	230132097	230132625	-	68.18	0.7	43.0	PID1
chr2	transcript	230132097	230132625	-	68.18	0.7	43.0	PID1
chr2	gene	230132939	230133491	-	52.54	0.71	27.0	PID1
chr2	transcript	230132939	230133491	-	52.54	0.71	27.0	PID1
chr2	gene	230340154	230342963	-	61.45	0.92	243.0	DNER
chr2	transcript	230340154	230342963	-	61.45	0.92	243.0	DNER
chr2	gene	231388644	231390165	-	63.64	0.78	120.0	AC010149.4
chr2	transcript	231388644	231390165	-	63.64	0.78	120.0	AC010149.4
chr2	gene	231418496	231419272	-	58.51	0.64	42.0	AC010149.4
chr2	transcript	231418496	231419272	-	58.51	0.64	42.0	AC010149.4
chr2	gene	231562904	231563518	-	55.54	0.63	30.0	AC098823.3
chr2	transcript	231562904	231563518	-	55.54	0.63	30.0	AC098823.3
chr2	gene	232336992	232338511	-	67.35	0.85	146.0	NCL
chr2	transcript	232336992	232338511	-	67.35	0.85	146.0	NCL
chr2	gene	232600029	232600635	-	52.31	0.6	25.0	PDE6D
chr2	transcript	232600029	232600635	-	52.31	0.6	25.0	PDE6D
chr2	gene	232609878	232611813	-	69.3	0.88	204.0	PDE6D
chr2	transcript	232609878	232611813	-	69.3	0.88	204.0	PDE6D
chr2	gene	232639080	232639834	-	61.67	0.85	61.0	PDE6D
chr2	transcript	232639080	232639834	-	61.67	0.85	61.0	PDE6D
chr2	gene	233634785	233636677	-	63.05	0.8	150.0	KCNJ13
chr2	transcript	233634785	233636677	-	63.05	0.8	150.0	KCNJ13
chr2	gene	233756523	233757271	-	52.81	0.6	31.0	NGEF
chr2	transcript	233756523	233757271	-	52.81	0.6	31.0	NGEF
chr2	gene	233851167	233853408	-	70.19	0.93	257.0	NGEF
chr2	transcript	233851167	233853408	-	70.19	0.93	257.0	NGEF
chr2	gene	237296542	237297301	-	51.91	0.67	34.0	IQCA1
chr2	transcript	237296542	237297301	-	51.91	0.67	34.0	IQCA1
chr2	gene	237351577	237352589	-	59.68	0.8	71.0	IQCA1
chr2	transcript	237351577	237352589	-	59.68	0.8	71.0	IQCA1
chr2	gene	237361698	237363306	-	70.21	0.8	159.0	IQCA1
chr2	transcript	237361698	237363306	-	70.21	0.8	159.0	IQCA1
chr2	gene	237365166	237368604	-	65.97	0.94	349.0	IQCA1
chr2	transcript	237365166	237368604	-	65.97	0.94	349.0	IQCA1
chr2	gene	237385132	237386614	-	60.05	0.6	79.0	IQCA1
chr2	transcript	237385132	237386614	-	60.05	0.6	79.0	IQCA1
chr2	gene	239446905	239448564	-	73.48	0.7	153.0	LINC01107
chr2	transcript	239446905	239448564	-	73.48	0.7	153.0	LINC01107
chr2	gene	239973723	239974580	-	52.16	0.73	42.0	HDAC4
chr2	transcript	239973723	239974580	-	52.16	0.73	42.0	HDAC4
chr2	exon	239973723	239974580	-	52.16	0.73	42.0	HDAC4
chr2	UTR	239973723	239974580	-	52.16	0.73	42.0	HDAC4
chr2	gene	240013961	240015271	-	58.7	0.94	104.0	HDAC4
chr2	transcript	240013961	240015271	-	58.7	0.94	104.0	HDAC4
chr2	gene	240305523	240306287	-	52.36	0.64	33.0	HDAC4
chr2	transcript	240305523	240306287	-	52.36	0.64	33.0	HDAC4
chr2	gene	240870854	240871386	-	52.82	0.67	24.0	NDUFA10
chr2	transcript	240870854	240871386	-	52.82	0.67	24.0	NDUFA10
chr2	gene	241073519	241074869	-	54.3	0.65	64.0	MYEOV2
chr2	transcript	241073519	241074869	-	54.3	0.65	64.0	MYEOV2
chr2	gene	241079320	241079917	-	56.28	0.63	29.0	OTOS
chr2	transcript	241079320	241079917	-	56.28	0.63	29.0	OTOS
chr2	gene	241190514	241191685	-	50.56	0.64	45.0	AC124861.1
chr2	transcript	241190514	241191685	-	50.56	0.64	45.0	AC124861.1
chr2	gene	241450275	241451866	-	70.02	0.83	162.0	ANKMY1
chr2	transcript	241450275	241451866	-	70.02	0.83	162.0	ANKMY1
chr2	gene	241451979	241452914	-	63.42	0.82	77.0	ANKMY1
chr2	transcript	241451979	241452914	-	63.42	0.82	77.0	ANKMY1
chr2	gene	241654594	241655102	-	57.48	0.67	28.0	KIF1A
chr2	transcript	241654594	241655102	-	57.48	0.67	28.0	KIF1A
chr2	exon	241654594	241655102	-	57.48	0.67	28.0	KIF1A
chr2	UTR	241654594	241655102	-	57.48	0.67	28.0	KIF1A
chr2	gene	241682854	241683547	-	61.76	0.6	39.0	KIF1A
chr2	transcript	241682854	241683547	-	61.76	0.6	39.0	KIF1A
chr2	gene	241691289	241691860	-	60.6	0.61	32.0	KIF1A
chr2	transcript	241691289	241691860	-	60.6	0.61	32.0	KIF1A
chr2	gene	241717614	241718814	-	70.5	0.7	104.0	KIF1A
chr2	transcript	241717614	241718814	-	70.5	0.7	104.0	KIF1A
chr2	gene	241719723	241720339	-	58.44	0.64	33.0	KIF1A
chr2	transcript	241719723	241720339	-	58.44	0.64	33.0	KIF1A
chr2	gene	241746538	241747067	-	55.58	0.61	25.0	KIF1A
chr2	transcript	241746538	241747067	-	55.58	0.61	25.0	KIF1A
chr2	gene	241965634	241966182	-	66.61	0.63	38.0	AC005237.4
chr2	transcript	241965634	241966182	-	66.61	0.63	38.0	AC005237.4
chr2	gene	242252088	242253688	-	73.06	0.76	161.0	HDLBP
chr2	transcript	242252088	242253688	-	73.06	0.76	161.0	HDLBP
chr2	gene	242562160	242563373	-	66.61	0.85	114.0	THAP4
chr2	transcript	242562160	242563373	-	66.61	0.85	114.0	THAP4
chr2	gene	242570084	242570657	-	55.15	0.76	33.0	THAP4
chr2	transcript	242570084	242570657	-	55.15	0.76	33.0	THAP4
chr2	gene	242615825	242617133	-	59.17	0.73	84.0	DTYMK
chr2	transcript	242615825	242617133	-	59.17	0.73	84.0	DTYMK
chr2	gene	243000755	243001955	-	61.42	0.98	111.0	AC093642.6
chr2	transcript	243000755	243001955	-	61.42	0.98	111.0	AC093642.6
chr3	gene	350361	351015	+	59.48	0.63	36.0	CHL1
chr3	transcript	350361	351015	+	59.48	0.63	36.0	CHL1
chr3	gene	2958351	2959048	+	66.0	0.7	52.0	CNTN4
chr3	transcript	2958351	2959048	+	66.0	0.7	52.0	CNTN4
chr3	gene	2974529	2975206	+	51.85	0.71	32.0	CNTN4
chr3	transcript	2974529	2975206	+	51.85	0.71	32.0	CNTN4
chr3	gene	3022274	3023166	+	51.35	0.63	37.0	CNTN4
chr3	transcript	3022274	3023166	+	51.35	0.63	37.0	CNTN4
chr3	gene	4345564	4346242	+	52.95	0.65	31.0	SETMAR
chr3	transcript	4345564	4346242	+	52.95	0.65	31.0	SETMAR
chr3	gene	5024473	5025069	+	56.04	0.68	32.0	BHLHE40
chr3	transcript	5024473	5025069	+	56.04	0.68	32.0	BHLHE40
chr3	gene	5177174	5177868	+	50.14	0.6	26.0	ARL8B
chr3	transcript	5177174	5177868	+	50.14	0.6	26.0	ARL8B
chr3	gene	6902237	6903996	+	62.54	0.73	125.0	GRM7
chr3	transcript	6902237	6903996	+	62.54	0.73	125.0	GRM7
chr3	gene	6904096	6904642	+	63.92	0.75	42.0	GRM7
chr3	transcript	6904096	6904642	+	63.92	0.75	42.0	GRM7
chr3	gene	8808962	8810414	+	66.05	0.85	134.0	CAV3
chr3	transcript	8808962	8810414	+	66.05	0.85	134.0	CAV3
chr3	gene	8810519	8811439	+	62.07	0.74	65.0	CAV3
chr3	transcript	8810519	8811439	+	62.07	0.74	65.0	CAV3
chr3	gene	9834593	9835246	+	62.63	0.75	47.0	ARPC4
chr3	transcript	9834593	9835246	+	62.63	0.75	47.0	ARPC4
chr3	gene	9837545	9838067	+	52.87	0.61	22.0	ARPC4
chr3	transcript	9837545	9838067	+	52.87	0.61	22.0	ARPC4
chr3	gene	9837545	9838067	+	52.87	0.61	22.0	ARPC4-TTLL3
chr3	transcript	9837545	9838067	+	52.87	0.61	22.0	ARPC4-TTLL3
chr3	gene	9851312	9852787	+	64.34	0.68	103.0	ARPC4-TTLL3
chr3	transcript	9851312	9852787	+	64.34	0.68	103.0	ARPC4-TTLL3
chr3	gene	9851312	9852787	+	64.34	0.68	103.0	TTLL3
chr3	transcript	9851312	9852787	+	64.34	0.68	103.0	TTLL3
chr3	gene	9885068	9886563	+	57.93	0.7	88.0	TTLL3
chr3	transcript	9885068	9886563	+	57.93	0.7	88.0	TTLL3
chr3	gene	9956698	9957665	+	71.35	0.88	108.0	IL17RE
chr3	transcript	9956698	9957665	+	71.35	0.88	108.0	IL17RE
chr3	gene	9981405	9982340	+	64.81	0.64	63.0	CRELD1
chr3	transcript	9981405	9982340	+	64.81	0.64	63.0	CRELD1
chr3	gene	10111177	10112415	+	68.09	0.61	87.0	FANCD2
chr3	transcript	10111177	10112415	+	68.09	0.61	87.0	FANCD2
chr3	gene	10183037	10185442	+	58.34	0.85	173.0	VHL
chr3	transcript	10183037	10185442	+	58.34	0.85	173.0	VHL
chr3	gene	10207201	10207778	+	56.15	0.71	32.0	IRAK2
chr3	transcript	10207201	10207778	+	56.15	0.71	32.0	IRAK2
chr3	gene	10218222	10218782	+	54.64	0.6	25.0	IRAK2
chr3	transcript	10218222	10218782	+	54.64	0.6	25.0	IRAK2
chr3	gene	10224005	10224519	+	53.11	0.64	23.0	IRAK2
chr3	transcript	10224005	10224519	+	53.11	0.64	23.0	IRAK2
chr3	gene	10239311	10240012	+	50.36	0.7	31.0	IRAK2
chr3	transcript	10239311	10240012	+	50.36	0.7	31.0	IRAK2
chr3	gene	10262650	10263372	+	51.39	0.64	30.0	IRAK2
chr3	transcript	10262650	10263372	+	51.39	0.64	30.0	IRAK2
chr3	gene	10289825	10291326	+	65.02	0.72	114.0	TATDN2
chr3	transcript	10289825	10291326	+	65.02	0.72	114.0	TATDN2
chr3	gene	11195805	11196639	+	74.46	0.84	97.0	HRH1
chr3	transcript	11195805	11196639	+	74.46	0.84	97.0	HRH1
chr3	gene	11481692	11482198	+	50.0	0.92	29.0	ATG7
chr3	transcript	11481692	11482198	+	50.0	0.92	29.0	ATG7
chr3	gene	11528723	11530121	+	72.53	0.66	121.0	ATG7
chr3	transcript	11528723	11530121	+	72.53	0.66	121.0	ATG7
chr3	gene	12328877	12330534	+	71.76	0.82	173.0	PPARG
chr3	transcript	12328877	12330534	+	71.76	0.82	173.0	PPARG
chr3	gene	12851474	12852156	+	70.67	0.62	52.0	CAND2
chr3	transcript	12851474	12852156	+	70.67	0.62	52.0	CAND2
chr3	gene	12864817	12865384	+	55.38	0.6	26.0	CAND2
chr3	transcript	12864817	12865384	+	55.38	0.6	26.0	CAND2
chr3	gene	12882335	12883163	+	57.85	0.68	47.0	CAND2
chr3	transcript	12882335	12883163	+	57.85	0.68	47.0	CAND2
chr3	gene	12890941	12892034	+	66.42	0.61	73.0	CAND2
chr3	transcript	12890941	12892034	+	66.42	0.61	73.0	CAND2
chr3	gene	12906286	12906814	+	51.33	0.62	21.0	CAND2
chr3	transcript	12906286	12906814	+	51.33	0.62	21.0	CAND2
chr3	gene	13590415	13591348	+	75.24	0.88	113.0	FBLN2
chr3	transcript	13590415	13591348	+	75.24	0.88	113.0	FBLN2
chr3	gene	13611924	13612529	+	67.77	0.63	44.0	FBLN2
chr3	transcript	13611924	13612529	+	67.77	0.63	44.0	FBLN2
chr3	exon	13611924	13612529	+	67.77	0.63	44.0	FBLN2
chr3	CDS	13611924	13612529	+	67.77	0.63	44.0	FBLN2
chr3	gene	13696303	13697128	+	72.73	0.69	75.0	LINC00620
chr3	transcript	13696303	13697128	+	72.73	0.69	75.0	LINC00620
chr3	gene	16925362	16926905	+	71.87	0.9	178.0	PLCL2
chr3	transcript	16925362	16926905	+	71.87	0.9	178.0	PLCL2
chr3	gene	19275630	19276312	+	69.21	0.64	52.0	KCNH8
chr3	transcript	19275630	19276312	+	69.21	0.64	52.0	KCNH8
chr3	gene	23031844	23032410	+	65.02	0.6	36.0	SALL4P5
chr3	transcript	23031844	23032410	+	65.02	0.6	36.0	SALL4P5
chr3	exon	23031844	23032410	+	65.02	0.6	36.0	SALL4P5
chr3	gene	23851745	23852711	+	67.7	0.78	82.0	UBE2E1
chr3	transcript	23851745	23852711	+	67.7	0.78	82.0	UBE2E1
chr3	gene	23912583	23913852	+	67.38	0.61	88.0	UBE2E1
