chromosome	feature	start	end	strand	C%+G%	Obs/Exp	CGcount	methyl%	gene
chr4	transcript	20443839	20444379	+	52.04	0.73	24.0	0.19552	SLIT2
chr4	gene	20701507	20702427	+	57.39	0.87	66.0	0.09495	PACRGL
chr4	transcript	20701507	20702427	+	57.39	0.87	66.0	0.09495	PACRGL
chr4	gene	22167936	22168438	+	54.98	0.64	24.0	0.53691	RP11-17E2.2
chr4	transcript	22167936	22168438	+	54.98	0.64	24.0	0.53691	RP11-17E2.2
chr4	gene	25235369	25236366	+	71.21	0.88	111.0	0.05255	PI4K2B
chr4	transcript	25235369	25236366	+	71.21	0.88	111.0	0.05255	PI4K2B
chr4	gene	25250899	25251829	+	68.39	0.6	65.0	0.01282	PI4K2B
chr4	transcript	25250899	25251829	+	68.39	0.6	65.0	0.01282	PI4K2B
chr4	gene	25390673	25391221	+	54.01	0.61	24.0	0.0	ANAPC4
chr4	transcript	25390673	25391221	+	54.01	0.61	24.0	0.0	ANAPC4
chr4	gene	25657120	25657735	+	63.58	1.02	63.0	0.03175	SLC34A2
chr4	transcript	25657120	25657735	+	63.58	1.02	63.0	0.03175	SLC34A2
chr4	gene	25677710	25678515	+	59.5	0.64	45.0	0.0	SLC34A2
chr4	transcript	25677710	25678515	+	59.5	0.64	45.0	0.0	SLC34A2
chr4	gene	25863659	25865957	+	67.49	0.78	203.0	0.1004	SMIM20
chr4	transcript	25863659	25865957	+	67.49	0.78	203.0	0.1004	SMIM20
chr4	gene	25915211	25916410	+	58.47	0.79	81.0	0.08642	SMIM20
chr4	transcript	25915211	25916410	+	58.47	0.79	81.0	0.08642	SMIM20
chr4	gene	26171355	26171975	+	55.81	0.6	29.0	0.0	RBPJ
chr4	transcript	26171355	26171975	+	55.81	0.6	29.0	0.0	RBPJ
chr4	gene	26256529	26257420	+	52.53	0.73	45.0	0.02222	RBPJ
chr4	transcript	26256529	26257420	+	52.53	0.73	45.0	0.02222	RBPJ
chr4	gene	26319867	26323830	+	60.03	0.83	297.0	0.10858	RBPJ
chr4	transcript	26319867	26323830	+	60.03	0.83	297.0	0.10858	RBPJ
chr4	gene	26585172	26586206	+	52.32	0.71	50.0	0.20914	TBC1D19
chr4	transcript	26585172	26586206	+	52.32	0.71	50.0	0.20914	TBC1D19
chr4	gene	26861790	26863584	+	63.43	0.98	177.0	0.06874	STIM2
chr4	transcript	26861790	26863584	+	63.43	0.98	177.0	0.06874	STIM2
chr4	gene	37922153	37922891	+	52.98	0.64	31.0	0.0	TBC1D1
chr4	transcript	37922153	37922891	+	52.98	0.64	31.0	0.0	TBC1D1
chr4	gene	37978573	37979640	+	72.63	0.86	121.0	0.04132	TBC1D1
chr4	transcript	37978573	37979640	+	72.63	0.86	121.0	0.04132	TBC1D1
chr4	gene	37994138	37994762	+	54.49	0.61	28.0	0.03571	TBC1D1
chr4	transcript	37994138	37994762	+	54.49	0.61	28.0	0.03571	TBC1D1
chr4	gene	38015711	38016669	+	59.71	0.66	56.0	0.08929	TBC1D1
chr4	transcript	38015711	38016669	+	59.71	0.66	56.0	0.08929	TBC1D1
chr4	gene	38138855	38139552	+	51.94	0.64	30.0	0.17556	TBC1D1
chr4	transcript	38138855	38139552	+	51.94	0.64	30.0	0.17556	TBC1D1
chr4	exon	38138855	38139552	+	51.94	0.64	30.0	0.17556	TBC1D1
chr4	gene	38883655	38884200	+	56.51	0.72	31.0	0.0	FAM114A1
chr4	transcript	38883655	38884200	+	56.51	0.72	31.0	0.0	FAM114A1
chr4	gene	39185754	39186357	+	50.75	0.62	24.0	0.21427	WDR19
chr4	transcript	39185754	39186357	+	50.75	0.62	24.0	0.21427	WDR19
chr4	gene	39447917	39449132	+	62.06	0.77	90.0	0.08704	KLB
chr4	transcript	39447917	39449132	+	62.06	0.77	90.0	0.08704	KLB
chr4	gene	39730288	39730935	+	52.86	0.63	28.0	0.51064	UBE2K
chr4	transcript	39730288	39730935	+	52.86	0.63	28.0	0.51064	UBE2K
chr4	gene	39740442	39740948	+	52.17	0.7	24.0	0.57895	UBE2K
chr4	transcript	39740442	39740948	+	52.17	0.7	24.0	0.57895	UBE2K
chr4	gene	39742018	39742871	+	52.17	0.61	35.0	0.0	UBE2K
chr4	transcript	39742018	39742871	+	52.17	0.61	35.0	0.0	UBE2K
chr4	gene	39771680	39773310	+	64.11	0.63	105.0	0.15841	UBE2K
chr4	transcript	39771680	39773310	+	64.11	0.63	105.0	0.15841	UBE2K
chr4	gene	39775267	39776229	+	53.85	0.66	46.0	0.14394	UBE2K
chr4	transcript	39775267	39776229	+	53.85	0.66	46.0	0.14394	UBE2K
chr4	gene	41361743	41363819	+	64.31	0.81	174.0	0.05119	LIMCH1
chr4	transcript	41361743	41363819	+	64.31	0.81	174.0	0.05119	LIMCH1
chr4	gene	41646264	41646811	+	62.89	0.81	43.0	0.06977	LIMCH1
chr4	transcript	41646264	41646811	+	62.89	0.81	43.0	0.06977	LIMCH1
chr4	gene	41752248	41753472	+	54.33	0.68	61.0	0.12579	RP11-227F19.1
chr4	transcript	41752248	41753472	+	54.33	0.68	61.0	0.12579	RP11-227F19.1
chr4	gene	41753626	41754244	+	63.11	0.63	39.0	0.17232	RP11-227F19.1
chr4	transcript	41753626	41754244	+	63.11	0.63	39.0	0.17232	RP11-227F19.1
chr4	gene	41753626	41754244	+	63.11	0.63	39.0	0.17232	RP11-227F19.2
chr4	transcript	41753626	41754244	+	63.11	0.63	39.0	0.17232	RP11-227F19.2
chr4	gene	47034428	47034964	+	65.3	0.79	45.0	0.11111	GABRB1
chr4	transcript	47034428	47034964	+	65.3	0.79	45.0	0.11111	GABRB1
chr4	gene	48018226	48019762	+	62.63	0.69	104.0	0.11312	NIPAL1
chr4	transcript	48018226	48019762	+	62.63	0.69	104.0	0.11312	NIPAL1
chr4	gene	48832778	48833714	+	59.51	0.76	63.0	0.03016	OCIAD1
chr4	transcript	48832778	48833714	+	59.51	0.76	63.0	0.03016	OCIAD1
chr4	gene	52710308	52711277	+	66.15	0.73	74.0	0.07838	DCUN1D4
chr4	transcript	52710308	52711277	+	66.15	0.73	74.0	0.07838	DCUN1D4
chr4	gene	54285692	54286490	+	51.13	0.65	34.0	0.01471	FIP1L1
chr4	transcript	54285692	54286490	+	51.13	0.65	34.0	0.01471	FIP1L1
chr4	gene	54929817	54931080	+	66.19	0.91	125.0	0.06507	FIP1L1
chr4	transcript	54929817	54931080	+	66.19	0.91	125.0	0.06507	FIP1L1
chr4	gene	54957937	54958677	+	59.73	0.79	52.0	0.34038	FIP1L1
chr4	transcript	54957937	54958677	+	59.73	0.79	52.0	0.34038	FIP1L1
chr4	gene	54965585	54968253	+	62.22	0.72	186.0	0.17658	FIP1L1
chr4	transcript	54965585	54968253	+	62.22	0.72	186.0	0.17658	FIP1L1
chr4	gene	54969532	54970503	+	58.7	0.61	51.0	0.38466	FIP1L1
chr4	transcript	54969532	54970503	+	58.7	0.61	51.0	0.38466	FIP1L1
chr4	gene	54975132	54976465	+	57.31	0.7	76.0	0.2275	FIP1L1
chr4	transcript	54975132	54976465	+	57.31	0.7	76.0	0.2275	FIP1L1
chr4	gene	55015426	55016035	+	72.25	0.7	56.0	0.11429	FIP1L1
chr4	transcript	55015426	55016035	+	72.25	0.7	56.0	0.11429	FIP1L1
chr4	gene	55083042	55083950	+	53.08	0.69	43.0	0.09302	FIP1L1
chr4	transcript	55083042	55083950	+	53.08	0.69	43.0	0.09302	FIP1L1
chr4	gene	55091756	55093371	+	56.59	0.63	81.0	0.22666	FIP1L1
chr4	transcript	55091756	55093371	+	56.59	0.63	81.0	0.22666	FIP1L1
chr4	gene	55093520	55094756	+	56.55	0.7	69.0	0.12587	FIP1L1
chr4	transcript	55093520	55094756	+	56.55	0.7	69.0	0.12587	FIP1L1
chr4	gene	55095927	55100651	+	63.53	0.77	366.0	0.15608	FIP1L1
chr4	transcript	55095927	55100651	+	63.53	0.77	366.0	0.15608	FIP1L1
chr4	gene	55095927	55100651	+	63.53	0.77	366.0	0.15608	PDGFRA
chr4	transcript	55095927	55100651	+	63.53	0.77	366.0	0.15608	PDGFRA
chr4	gene	56875102	56875621	+	53.95	0.61	23.0	0.0	CEP135
chr4	transcript	56875102	56875621	+	53.95	0.61	23.0	0.0	CEP135
chr4	gene	57179992	57182514	+	62.49	0.68	164.0	0.0061	KIAA1211
chr4	transcript	57179992	57182514	+	62.49	0.68	164.0	0.0061	KIAA1211
chr4	gene	57333462	57334418	+	59.62	0.81	69.0	0.03934	SRP72
chr4	transcript	57333462	57334418	+	59.62	0.81	69.0	0.03934	SRP72
chr4	gene	57372294	57372811	+	58.22	0.65	28.0	0.10714	ARL9
chr4	transcript	57372294	57372811	+	58.22	0.65	28.0	0.10714	ARL9
chr4	gene	57410682	57411221	+	57.7	0.81	36.0	0.05267	THEGL
chr4	transcript	57410682	57411221	+	57.7	0.81	36.0	0.05267	THEGL
chr4	gene	57844010	57845636	+	52.64	0.89	99.0	0.0	POLR2B
chr4	transcript	57844010	57845636	+	52.64	0.89	99.0	0.0	POLR2B
chr4	gene	58029820	58030527	+	63.22	0.84	59.0	0.10397	IGFBP7-AS1
chr4	transcript	58029820	58030527	+	63.22	0.84	59.0	0.10397	IGFBP7-AS1
chr4	gene	58038699	58039742	+	68.55	0.6	73.0	0.0137	IGFBP7-AS1
chr4	transcript	58038699	58039742	+	68.55	0.6	73.0	0.0137	IGFBP7-AS1
chr4	gene	58060487	58061278	+	60.56	0.73	53.0	0.10768	IGFBP7-AS1
chr4	transcript	58060487	58061278	+	60.56	0.73	53.0	0.10768	IGFBP7-AS1
chr4	gene	58061752	58062366	+	57.65	0.81	41.0	0.01626	IGFBP7-AS1
chr4	transcript	58061752	58062366	+	57.65	0.81	41.0	0.01626	IGFBP7-AS1
chr4	gene	62362107	62362647	+	57.22	0.64	28.0	0.0	LPHN3
chr4	transcript	62362107	62362647	+	57.22	0.64	28.0	0.0	LPHN3
chr4	gene	62641471	62641998	+	54.84	0.89	35.0	0.13333	LPHN3
chr4	transcript	62641471	62641998	+	54.84	0.89	35.0	0.13333	LPHN3
chr4	gene	62735038	62735589	+	55.9	0.75	32.0	0.0	LPHN3
chr4	transcript	62735038	62735589	+	55.9	0.75	32.0	0.0	LPHN3
chr4	gene	62750373	62751002	+	55.8	0.61	30.0	0.06667	LPHN3
chr4	transcript	62750373	62751002	+	55.8	0.61	30.0	0.06667	LPHN3
chr4	gene	69048063	69048594	+	65.16	0.61	34.0	0.0	FTLP10
chr4	transcript	69048063	69048594	+	65.16	0.61	34.0	0.0	FTLP10
chr4	exon	69048063	69048594	+	65.16	0.61	34.0	0.0	FTLP10
chr4	gene	71859030	71859932	+	68.74	0.77	82.0	0.01143	MOB1B
chr4	transcript	71859030	71859932	+	68.74	0.77	82.0	0.01143	MOB1B
chr4	gene	71859030	71859932	+	68.74	0.77	82.0	0.01143	DCK
chr4	gene	72897565	72898067	+	61.55	0.72	34.0	0.0	NPFFR2
chr4	transcript	72897565	72898067	+	61.55	0.72	34.0	0.0	NPFFR2
chr4	gene	74142132	74142737	+	54.21	0.61	27.0	0.0	RP11-692D12.1
chr4	transcript	74142132	74142737	+	54.21	0.61	27.0	0.0	RP11-692D12.1
chr4	gene	75023449	75024402	+	64.43	0.89	86.0	0.01163	MTHFD2L
chr4	transcript	75023449	75024402	+	64.43	0.89	86.0	0.01163	MTHFD2L
chr4	gene	75247415	75248007	+	54.39	0.62	27.0	0.03704	EREG
chr4	transcript	75247415	75248007	+	54.39	0.62	27.0	0.03704	EREG
chr4	gene	76911216	76912763	+	50.16	0.81	79.0	0.01048	RP11-630D6.5
chr4	transcript	76911216	76912763	+	50.16	0.81	79.0	0.01048	RP11-630D6.5
chr4	gene	76970435	76971241	+	54.59	0.73	43.0	0.08359	ART3
chr4	transcript	76970435	76971241	+	54.59	0.73	43.0	0.08359	ART3
chr4	gene	77172550	77173577	+	61.83	0.76	75.0	0.04	FAM47E
chr4	transcript	77172550	77173577	+	61.83	0.76	75.0	0.04	FAM47E
chr4	gene	77226854	77228641	+	63.01	0.71	125.0	0.008	FAM47E-STBD1
chr4	transcript	77226854	77228641	+	63.01	0.71	125.0	0.008	FAM47E-STBD1
chr4	gene	77507039	77507673	+	59.15	0.67	37.0	0.05405	SHROOM3
chr4	transcript	77507039	77507673	+	59.15	0.67	37.0	0.05405	SHROOM3
chr4	gene	77588847	77589588	+	55.33	0.62	35.0	0.0	SHROOM3
chr4	transcript	77588847	77589588	+	55.33	0.62	35.0	0.0	SHROOM3
chr4	gene	77610204	77611029	+	69.09	0.98	95.0	0.0	SHROOM3
chr4	transcript	77610204	77611029	+	69.09	0.98	95.0	0.0	SHROOM3
chr4	gene	77661370	77663109	+	68.78	0.73	151.0	0.00662	SHROOM3
chr4	transcript	77661370	77663109	+	68.78	0.73	151.0	0.00662	SHROOM3
chr4	exon	77661370	77663109	+	68.78	0.73	151.0	0.00662	SHROOM3
chr4	gene	79102477	79103292	+	54.48	0.9	53.0	0.0	FRAS1
chr4	transcript	79102477	79103292	+	54.48	0.9	53.0	0.0	FRAS1
chr4	gene	81109832	81110679	+	61.51	0.69	55.0	0.0	PRDM8
chr4	transcript	81109832	81110679	+	61.51	0.69	55.0	0.0	PRDM8
chr4	gene	81111138	81111869	+	57.05	0.64	38.0	0.0	PRDM8
chr4	transcript	81111138	81111869	+	57.05	0.64	38.0	0.0	PRDM8
chr4	gene	81117846	81118702	+	58.64	0.71	52.0	0.0	PRDM8
chr4	transcript	81117846	81118702	+	58.64	0.71	52.0	0.0	PRDM8
chr4	gene	81119077	81119587	+	58.43	0.98	41.0	0.63902	PRDM8
chr4	transcript	81119077	81119587	+	58.43	0.98	41.0	0.63902	PRDM8
chr4	gene	81122988	81124884	+	68.46	0.86	190.0	0.00526	PRDM8
chr4	transcript	81122988	81124884	+	68.46	0.86	190.0	0.00526	PRDM8
chr4	gene	81256704	81257390	+	60.79	0.77	49.0	0.0	FGF5
chr4	transcript	81256704	81257390	+	60.79	0.77	49.0	0.0	FGF5
chr4	gene	81368312	81368904	+	57.6	0.64	31.0	0.0	C4orf22
chr4	transcript	81368312	81368904	+	57.6	0.64	31.0	0.0	C4orf22
chr4	gene	83369802	83370389	+	55.37	0.77	34.0	0.02451	ENOPH1
chr4	transcript	83369802	83370389	+	55.37	0.77	34.0	0.02451	ENOPH1
chr4	gene	83984621	83985134	+	52.83	0.63	22.0	0.12005	COPS4
chr4	transcript	83984621	83985134	+	52.83	0.63	22.0	0.12005	COPS4
chr4	gene	85887894	85888450	+	58.99	0.68	30.0	0.0	WDFY3-AS2
chr4	transcript	85887894	85888450	+	58.99	0.68	30.0	0.0	WDFY3-AS2
chr4	gene	86396327	86396970	+	66.72	0.68	46.0	0.0	ARHGAP24
chr4	transcript	86396327	86396970	+	66.72	0.68	46.0	0.0	ARHGAP24
chr4	gene	86756393	86757001	+	50.82	0.75	29.0	0.13793	ARHGAP24
chr4	transcript	86756393	86757001	+	50.82	0.75	29.0	0.13793	ARHGAP24
chr4	gene	87927637	87928708	+	62.18	0.89	92.0	0.0	AFF1
chr4	transcript	87927637	87928708	+	62.18	0.89	92.0	0.0	AFF1
chr4	gene	89444065	89445099	+	64.6	0.85	92.0	0.01863	HERC3
chr4	gene	89511137	89511706	+	58.52	0.71	34.0	0.04902	HERC3
chr4	transcript	89511137	89511706	+	58.52	0.71	34.0	0.04902	HERC3
chr4	gene	89512872	89514482	+	67.14	0.9	164.0	0.0061	HERC3
chr4	transcript	89512872	89514482	+	67.14	0.9	164.0	0.0061	HERC3
chr4	gene	89522929	89523541	+	53.92	0.73	32.0	0.0	HERC3
chr4	transcript	89522929	89523541	+	53.92	0.73	32.0	0.0	HERC3
chr4	gene	89618287	89619091	+	59.95	0.77	54.0	0.0	HERC3
chr4	transcript	89618287	89619091	+	59.95	0.77	54.0	0.0	HERC3
chr4	gene	90757785	90759387	+	58.49	0.73	99.0	0.01705	RP11-67M1.1
chr4	transcript	90757785	90759387	+	58.49	0.73	99.0	0.01705	RP11-67M1.1
chr4	gene	91281092	91281806	+	55.18	0.72	39.0	0.0	CCSER1
chr4	transcript	91281092	91281806	+	55.18	0.72	39.0	0.0	CCSER1
chr4	gene	93226349	93227300	+	61.72	0.89	81.0	0.15329	GRID2
chr4	transcript	93226349	93227300	+	61.72	0.89	81.0	0.15329	GRID2
chr4	gene	93670168	93670717	+	54.83	0.69	28.0	0.05357	GRID2
chr4	transcript	93670168	93670717	+	54.83	0.69	28.0	0.05357	GRID2
chr4	gene	94564998	94565582	+	56.16	0.79	36.0	0.09325	GRID2
chr4	transcript	94564998	94565582	+	56.16	0.79	36.0	0.09325	GRID2
chr4	gene	95783752	95784263	+	54.6	0.69	26.0	0.0	BMPR1B
chr4	transcript	95783752	95784263	+	54.6	0.69	26.0	0.0	BMPR1B
chr4	gene	97335883	97336442	+	55.64	0.63	27.0	0.0	RP11-145G20.1
chr4	transcript	97335883	97336442	+	55.64	0.63	27.0	0.0	RP11-145G20.1
chr4	gene	99850801	99851348	+	51.37	0.89	32.0	0.0	RP11-571L19.7
chr4	transcript	99850801	99851348	+	51.37	0.89	32.0	0.0	RP11-571L19.7
chr4	gene	100058076	100058710	+	52.84	0.61	27.0	0.0	RP11-696N14.1
chr4	transcript	100058076	100058710	+	52.84	0.61	27.0	0.0	RP11-696N14.1
chr4	gene	101110974	101111972	+	63.33	0.67	66.0	0.01437	RP11-15B17.1
chr4	transcript	101110974	101111972	+	63.33	0.67	66.0	0.01437	RP11-15B17.1
chr4	gene	101116564	101117221	+	52.36	0.76	33.0	0.0	RP11-588P8.1
chr4	transcript	101116564	101117221	+	52.36	0.76	33.0	0.0	RP11-588P8.1
chr4	gene	102374299	102374917	+	56.15	0.6	29.0	0.02956	BANK1
chr4	transcript	102374299	102374917	+	56.15	0.6	29.0	0.02956	BANK1
chr4	gene	102574938	102575493	+	55.14	0.67	28.0	0.0	BANK1
chr4	transcript	102574938	102575493	+	55.14	0.67	28.0	0.0	BANK1
chr4	gene	102711702	102712345	+	65.32	0.66	45.0	0.04444	BANK1
chr4	transcript	102711702	102712345	+	65.32	0.66	45.0	0.04444	BANK1
chr4	gene	105415957	105416561	+	62.58	0.72	42.0	0.0	AC004053.1
chr4	transcript	105415957	105416561	+	62.58	0.72	42.0	0.0	AC004053.1
chr4	gene	106816089	106817975	+	65.85	0.78	159.0	0.0	NPNT
chr4	transcript	106816089	106817975	+	65.85	0.78	159.0	0.0	NPNT
chr4	gene	107236738	107237564	+	56.9	0.62	41.0	0.02439	AIMP1
chr4	transcript	107236738	107237564	+	56.9	0.62	41.0	0.02439	AIMP1
chr4	gene	107241930	107242905	+	66.67	0.67	73.0	0.0	AIMP1
chr4	transcript	107241930	107242905	+	66.67	0.67	73.0	0.0	AIMP1
chr4	gene	109093039	109094675	+	65.89	0.82	146.0	0.0	LEF1-AS1
chr4	transcript	109093039	109094675	+	65.89	0.82	146.0	0.0	LEF1-AS1
chr4	gene	111397581	111398328	+	56.09	0.65	38.0	0.05263	ENPEP
chr4	transcript	111397581	111398328	+	56.09	0.65	38.0	0.05263	ENPEP
chr4	gene	113441540	113443179	+	52.35	0.61	68.0	0.29643	RP11-402J6.1
chr4	transcript	113441540	113443179	+	52.35	0.61	68.0	0.29643	RP11-402J6.1
chr4	gene	113443649	113444510	+	50.52	0.88	48.0	0.02083	RP11-402J6.1
chr4	transcript	113443649	113444510	+	50.52	0.88	48.0	0.02083	RP11-402J6.1
chr4	gene	113444780	113445561	+	57.23	0.8	51.0	0.09804	RP11-402J6.1
chr4	transcript	113444780	113445561	+	57.23	0.8	51.0	0.09804	RP11-402J6.1
chr4	gene	113785488	113786176	+	52.91	0.73	35.0	0.04286	ANK2
chr4	transcript	113785488	113786176	+	52.91	0.73	35.0	0.04286	ANK2
chr4	gene	113806333	113806909	+	53.3	0.64	26.0	0.0	ANK2
chr4	transcript	113806333	113806909	+	53.3	0.64	26.0	0.0	ANK2
chr4	gene	113878596	113879763	+	67.27	0.62	82.0	0.06021	ANK2
chr4	transcript	113878596	113879763	+	67.27	0.62	82.0	0.06021	ANK2
chr4	gene	114275100	114275610	+	50.2	0.62	19.0	0.15789	ANK2
chr4	transcript	114275100	114275610	+	50.2	0.62	19.0	0.15789	ANK2
chr4	exon	114275100	114275610	+	50.2	0.62	19.0	0.15789	ANK2
chr4	CDS	114275100	114275610	+	50.2	0.62	19.0	0.15789	ANK2
chr4	gene	115520386	115521039	+	61.87	0.79	47.0	0.0	UGT8
chr4	transcript	115520386	115521039	+	61.87	0.79	47.0	0.0	UGT8
chr4	gene	119427110	119427684	+	50.35	0.66	24.0	0.50263	CEP170P1
chr4	transcript	119427110	119427684	+	50.35	0.66	24.0	0.50263	CEP170P1
chr4	gene	119447993	119448565	+	54.72	0.6	25.0	0.04	CEP170P1
chr4	transcript	119447993	119448565	+	54.72	0.6	25.0	0.04	CEP170P1
chr4	gene	124057349	124057947	+	51.84	0.6	24.0	0.0	SPATA5
chr4	transcript	124057349	124057947	+	51.84	0.6	24.0	0.0	SPATA5
chr4	gene	124318219	124320555	+	63.36	0.91	214.0	0.0	SPRY1
chr4	transcript	124318219	124320555	+	63.36	0.91	214.0	0.0	SPRY1
chr4	gene	124426649	124427668	+	54.66	0.83	63.0	0.0	RP11-381N20.2
chr4	transcript	124426649	124427668	+	54.66	0.83	63.0	0.0	RP11-381N20.2
chr4	gene	124426649	124427668	+	54.66	0.83	63.0	0.0	RP11-381N20.1
chr4	transcript	124426649	124427668	+	54.66	0.83	63.0	0.0	RP11-381N20.1
chr4	gene	128984136	128984962	+	51.09	0.77	41.0	0.0	LARP1B
chr4	transcript	128984136	128984962	+	51.09	0.77	41.0	0.0	LARP1B
chr4	gene	129014479	129015157	+	50.74	0.64	28.0	0.0	LARP1B
chr4	transcript	129014479	129015157	+	50.74	0.64	28.0	0.0	LARP1B
chr4	gene	129115266	129115938	+	54.02	0.63	31.0	0.0	LARP1B
chr4	transcript	129115266	129115938	+	54.02	0.63	31.0	0.0	LARP1B
chr4	gene	129731707	129733986	+	65.69	0.9	218.0	0.0	JADE1
chr4	transcript	129731707	129733986	+	65.69	0.9	218.0	0.0	JADE1
chr4	gene	134070656	134074144	+	57.11	0.78	221.0	0.0	PCDH10
chr4	transcript	134070656	134074144	+	57.11	0.78	221.0	0.0	PCDH10
chr4	gene	139009695	139010376	+	72.83	0.75	68.0	0.0	SLC7A11-AS1
chr4	transcript	139009695	139010376	+	72.83	0.75	68.0	0.0	SLC7A11-AS1
chr4	gene	139938403	139938947	+	58.27	0.65	30.0	0.0	CCRN4L
chr4	transcript	139938403	139938947	+	58.27	0.65	30.0	0.0	CCRN4L
chr4	gene	139960913	139961487	+	56.27	0.73	33.0	0.0	CCRN4L
chr4	transcript	139960913	139961487	+	56.27	0.73	33.0	0.0	CCRN4L
chr4	gene	140655963	140657186	+	65.9	0.8	106.0	0.0	MGST2
chr4	transcript	140655963	140657186	+	65.9	0.8	106.0	0.0	MGST2
chr4	gene	141272115	141272694	+	50.78	0.64	24.0	0.0	SCOC
chr4	transcript	141272115	141272694	+	50.78	0.64	24.0	0.0	SCOC
chr4	gene	141294202	141295393	+	58.94	0.8	82.0	0.0	SCOC
chr4	transcript	141294202	141295393	+	58.94	0.8	82.0	0.0	SCOC
chr4	gene	142603832	142604720	+	53.38	0.61	38.0	0.09327	IL15
chr4	transcript	142603832	142604720	+	53.38	0.61	38.0	0.09327	IL15
chr4	gene	146402374	146404070	+	65.51	0.98	179.0	0.0	SMAD1
chr4	transcript	146402374	146404070	+	65.51	0.98	179.0	0.0	SMAD1
chr4	gene	146443140	146443667	+	54.08	0.63	24.0	0.0	SMAD1
chr4	transcript	146443140	146443667	+	54.08	0.63	24.0	0.0	SMAD1
chr4	gene	146539591	146540939	+	55.12	0.88	90.0	0.0	MMAA
chr4	transcript	146539591	146540939	+	55.12	0.88	90.0	0.0	MMAA
chr4	gene	146653995	146654905	+	67.25	0.87	86.0	0.15659	C4orf51
chr4	transcript	146653995	146654905	+	67.25	0.87	86.0	0.15659	C4orf51
chr4	gene	147560770	147562267	+	58.18	0.86	108.0	0.0	POU4F2
chr4	transcript	147560770	147562267	+	58.18	0.86	108.0	0.0	POU4F2
chr4	gene	148402074	148402901	+	66.14	0.85	76.0	0.0	EDNRA
chr4	transcript	148402074	148402901	+	66.14	0.85	76.0	0.0	EDNRA
chr4	gene	151500589	151501741	+	54.43	0.94	80.0	0.14062	RP11-1336O20.2
chr4	transcript	151500589	151501741	+	54.43	0.94	80.0	0.14062	RP11-1336O20.2
chr4	gene	151503143	151503725	+	50.52	0.74	27.0	0.28433	MAB21L2
chr4	transcript	151503143	151503725	+	50.52	0.74	27.0	0.28433	MAB21L2
chr4	exon	151503143	151503725	+	50.52	0.74	27.0	0.28433	MAB21L2
chr4	UTR	151503143	151503725	+	50.52	0.74	27.0	0.28433	MAB21L2
chr4	gene	151503985	151505300	+	60.84	0.86	104.0	0.17802	MAB21L2
chr4	transcript	151503985	151505300	+	60.84	0.86	104.0	0.17802	MAB21L2
chr4	exon	151503985	151505300	+	60.84	0.86	104.0	0.17802	MAB21L2
chr4	gene	152432359	152432896	+	54.56	0.71	28.0	0.0506	FAM160A1
chr4	transcript	152432359	152432896	+	54.56	0.71	28.0	0.0506	FAM160A1
chr4	gene	153860102	153860756	+	50.46	0.63	26.0	0.11538	FHDC1
chr4	transcript	153860102	153860756	+	50.46	0.63	26.0	0.11538	FHDC1
chr4	gene	154073691	154075046	+	60.59	0.83	102.0	0.12355	TRIM2
chr4	transcript	154073691	154075046	+	60.59	0.83	102.0	0.12355	TRIM2
chr4	gene	154143363	154144464	+	62.4	0.79	84.0	0.0	TRIM2
chr4	transcript	154143363	154144464	+	62.4	0.79	84.0	0.0	TRIM2
chr4	gene	154216257	154217388	+	57.03	0.7	64.0	0.125	TRIM2
chr4	transcript	154216257	154217388	+	57.03	0.7	64.0	0.125	TRIM2
chr4	gene	154325394	154325952	+	51.43	0.63	23.0	0.0	MND1
chr4	transcript	154325394	154325952	+	51.43	0.63	23.0	0.0	MND1
chr4	gene	154401133	154401655	+	56.13	0.69	28.0	0.4509	KIAA0922
chr4	transcript	154401133	154401655	+	56.13	0.69	28.0	0.4509	KIAA0922
chr4	gene	154405651	154406259	+	54.93	0.61	28.0	0.25217	KIAA0922
chr4	transcript	154405651	154406259	+	54.93	0.61	28.0	0.25217	KIAA0922
chr4	gene	154469213	154469755	+	51.48	0.61	22.0	0.0	KIAA0922
chr4	transcript	154469213	154469755	+	51.48	0.61	22.0	0.0	KIAA0922
chr4	gene	155663066	155666736	+	56.19	0.71	204.0	0.10833	LRAT
chr4	transcript	155663066	155666736	+	56.19	0.71	204.0	0.10833	LRAT
chr4	gene	156297403	156298429	+	56.24	0.91	74.0	0.45742	AC097467.2
chr4	transcript	156297403	156298429	+	56.24	0.91	74.0	0.45742	AC097467.2
chr4	gene	156588298	156589444	+	67.19	0.83	107.0	0.13278	GUCY1A3
chr4	transcript	156588298	156589444	+	67.19	0.83	107.0	0.13278	GUCY1A3
chr4	gene	156712327	156712965	+	52.19	0.76	33.0	0.0303	GUCY1B3
chr4	transcript	156712327	156712965	+	52.19	0.76	33.0	0.0303	GUCY1B3
chr4	gene	158141259	158141999	+	62.97	0.96	68.0	0.0	GRIA2
chr4	transcript	158141259	158141999	+	62.97	0.96	68.0	0.0	GRIA2
chr4	gene	158142496	158144183	+	58.09	0.7	99.0	0.0303	GRIA2
chr4	transcript	158142496	158144183	+	58.09	0.7	99.0	0.0303	GRIA2
chr4	gene	158244159	158244676	+	51.45	0.71	24.0	0.18599	GRIA2
chr4	transcript	158244159	158244676	+	51.45	0.71	24.0	0.18599	GRIA2
